letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-07-23_991170516722105501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-08-13_991170516723005501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1760-05-17_991170516721805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1750-03-14_991170516850505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-11-15_991170516722905501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1774-04-18_991170516720805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1754-05-04_991170516849005501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1754-09-02_991170516848905501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1752-10-03_991170516849605501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1764-10-02_991170516720905501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1758-10-31_991170516722605501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1751-06-15_991170516850105501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1750-10-31_991170516850305501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-05-10_991170516723105501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1751-08-08_991170516850005501.xml,RG,katalogisiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1756-03-22_991170516848305501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1751-11-30_991170516849905501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1756-06-29_991170516848205501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1762-04-27_991170516721305501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1760-06-14_991170516721705501.xml,RG,transkribiert,0,0,1,0
